LetterID,Symbol_1,Proximity_1,Symbol_2,Proximity_2,Symbol_3,Proximity_3,Symbol_4,Proximity_4,Symbol_5,Proximity_5,Symbol_6,Proximity_6,Symbol_7,Proximity_7,Symbol_8,Proximity_8,Symbol_9,Proximity_9,Symbol_10,Proximity_10,Symbol_11,Proximity_11,Symbol_12,Proximity_12,Symbol_13,Proximity_13,Symbol_14,Proximity_14,Symbol_15,Proximity_15,Symbol_16,Proximity_16,Symbol_17,Proximity_17,Symbol_18,Proximity_18,Symbol_19,Proximity_19,Symbol_20,Proximity_20,Symbol_21,Proximity_21,Symbol_22,Proximity_22,Symbol_23,Proximity_23,Symbol_24,Proximity_24,Symbol_25,Proximity_25,Symbol_26,Proximity_26,Symbol_27,Proximity_27,Symbol_28,Proximity_28,Symbol_29,Proximity_29,Symbol_30,Proximity_30,Symbol_31,Proximity_31,Symbol_32,Proximity_32,Symbol_33,Proximity_33,Symbol_34,Proximity_34,Symbol_35,Proximity_35,Symbol_36,Proximity_36,Symbol_37,Proximity_37,Symbol_38,Proximity_38,Symbol_39,Proximity_39,Symbol_40,Proximity_40,Symbol_41,Proximity_41,Symbol_42,Proximity_42,Symbol_43,Proximity_43,Symbol_44,Proximity_44,Symbol_45,Proximity_45,Symbol_46,Proximity_46,Symbol_47,Proximity_47,Symbol_48,Proximity_48,Symbol_49,Proximity_49,Symbol_50,Proximity_50,Symbol_51,Proximity_51,Symbol_52,Proximity_52,Symbol_53,Proximity_53,Symbol_54,Proximity_54,Symbol_55,Proximity_55,Symbol_56,Proximity_56,Symbol_57,Proximity_57
0,ੱ,0.8922994041517497,ਛ,0.8016808197660557,ਙ,0.7101743070066473,ਜ਼,0.7059147557617986,ਸ,0.6827840270624721,ਫ,0.6824576207159946,ਜ,0.6656863000347195,ਘ,0.6485828573379981,ਚ,0.6481107059726845,ਡ,0.6356748195838492,ਫ਼,0.6339519241964631,ਸ਼,0.6315139964202461,ਠ,0.6278185644672314,ਮ,0.6187949232624004,ਐ,0.6143755814030585,ਹ,0.6000881877943871,ਭ,0.5820515640216544,ਗ,0.5781108201130805,ੳ,0.5743272891947655,ਖ਼,0.5710280458431631,ਪ,0.5686668906530687,ਗ਼,0.5668688485977774,ਔ,0.5647742334449684,ਏ,0.5594202708350176,ਕ,0.5540025560810589,ਖ,0.549425328490831,ਅ,0.5482582867218408,ੜ,0.5477822354287961,ਓ,0.5465012619922545,ਵ,0.5449500930252923,ਯ,0.5448968613817186,ਂ,0.5338429208807602,ੴ,0.5143210732453094,ਦ,0.5120705646946672,ਧ,0.4971358624216674,ਲ,0.4953542012360018,ਉ,0.4860038345422939,ਬ,0.4783227612192029,ꁑ,0.4734046987076843,ਈ,0.4731224850262652,ਤ,0.4716552659659974,ਰ,0.4637832190057658,ਇ,0.4636647300552338,ਢ,0.44708052492059425,ਨ,0.43714626209194907,ੲ,0.43627782910524127,ਊ,0.432744868229619,ਞ,0.4314271305891457,ਃ,0.42686440241266443,ਥ,0.4112071671958607,ਝ,0.41097777929331636,ਣ,0.39798515928483014,ਲ਼,0.37717034371494595,ਟ,0.30032888227879495,ਆ,0.29249200709770207,ੰ,0.13816657893912987,੍,0.0
1,ਛ,0.47361469997878813,ਸ਼,0.4726019234609742,ਏ,0.46261192174309285,ਫ਼,0.44853346896983703,ੱ,0.44071653124810206,ਸ,0.43489969164128517,ਓ,0.4237422105994738,ਫ,0.4171016155100177,ਙ,0.4165648905106747,ਇ,0.4046238194403631,ਖ਼,0.38880046213074093,ੜ,0.38401041336784314,ਜ,0.38362077672225825,ਵ,0.3778077670966292,ੲ,0.3756401476635819,ਜ਼,0.37179486307569887,ੴ,0.3689006431297911,ਡ,0.3683540046966689,ਦ,0.36829890812588606,ੳ,0.3657963514784386,ਞ,0.3625715370830067,ਚ,0.35758277368024616,ਉ,0.3549800191958796,ਠ,0.3544031922278461,ਘ,0.35185584302032114,ਲ,0.3488480745872925,ਅ,0.34391107812401156,ਭ,0.3367846976661506,ਯ,0.3351117967163437,ਲ਼,0.33325072630349817,ਨ,0.3327015504071289,ਮ,0.33247361544800413,ਝ,0.33116925933090635,ਊ,0.3292886339685037,ਐ,0.326483714188063,ਰ,0.3215082207335165,ਬ,0.31573839468780585,ਪ,0.30820393880273367,ਣ,0.30303956618844974,ੰ,0.30100984617766624,ਃ,0.3002778791613395,ਹ,0.29522765477837265,ꁑ,0.29326432370189626,ਤ,0.28885252667739625,ਖ,0.2879550953968676,ਕ,0.28568888523732605,ਗ਼,0.28415889798390204,ਢ,0.2824315975189866,ਧ,0.27990269375128973,ਗ,0.2740135081293712,ਂ,0.2560034030906063,ਥ,0.25266967037492694,ਈ,0.24370485341444892,ਟ,0.23691737030540527,ਆ,0.20558783271621728,ਔ,0.20356653909393052,੍,0.0
2,ਂ,0.9320967428866581,ਛ,0.717030478441858,ਗ,0.6339462344021443,ਗ਼,0.6315239923588767,ਫ,0.6293424332197974,ਡ,0.6276861183020446,ਜ਼,0.6128771415031822,ਚ,0.6126865298092752,ਙ,0.6086847824710189,ਸ,0.5852712332160761,ਫ਼,0.5792700654627378,ਸ਼,0.5717793671608259,ੱ,0.560805793870943,ਭ,0.5603228663288138,ਕ,0.5438365236721376,ਬ,0.5390736657689105,ਠ,0.5247202036023401,ਜ,0.5227167037281474,ਥ,0.5213816452492701,ਘ,0.5124107338178392,ਲ,0.5101480482586376,ੜ,0.5083513516977021,ਢ,0.49955037393951385,ਹ,0.4926267558449047,ੴ,0.48407445261876547,ਯ,0.4831601258542455,ਵ,0.4796149387954297,ਧ,0.477053838604662,ਖ,0.47522449550519463,ਰ,0.46376653069331875,ਖ਼,0.4542924175940276,ਝ,0.4498299886759469,ਮ,0.4450033820241198,ਞ,0.4333025586214918,ਤ,0.4283907459916393,ਅ,0.4175544394835805,ਦ,0.41477925221067113,ੳ,0.4129617680139529,ੲ,0.40533595356134644,ꁑ,0.4017808074498319,ਣ,0.39720007060231166,ਈ,0.3799168225065014,ਐ,0.36706984937385667,ਪ,0.3616498537141466,ੰ,0.35825880847372227,ਓ,0.35745845740804616,ਨ,0.3410293855800792,ਏ,0.33657422628291833,ਔ,0.33494800912373246,ਉ,0.33490300529255324,ਲ਼,0.3309906915860372,ਊ,0.3083443595617473,ਟ,0.29134727199227195,ਆ,0.2831716669441853,ਇ,0.22542047632119822,ਃ,0.20643069395705183,੍,0.0
3,ਂ,0.729909874870185,ਙ,0.5521566309845671,ਛ,0.5436890210548254,ਸ਼,0.5276184985063235,ੱ,0.48106543601787155,ਸ,0.47861364633453796,ਫ਼,0.4749659645724196,ੰ,0.46775380955188595,ਫ,0.4595660981182994,ਡ,0.43732778833008235,ਚ,0.43159198885798455,ਲ,0.4212359509061796,ਝ,0.4181699209475024,ੜ,0.41054846346627005,ਢ,0.4071816932607547,ਘ,0.39924379129394516,ਬ,0.3984856339056282,ਇ,0.3930821845222846,ਜ਼,0.392550421307324,ਖ਼,0.38586489346983566,ਞ,0.3850724765265877,ਥ,0.3799761654113226,ਵ,0.3727955240079144,ਗ਼,0.3700966737179886,ਭ,0.3626480934729224,ਗ,0.3572297478576395,ਠ,0.3542507736092392,ਓ,0.3536414960020089,ਜ,0.34626729635637366,ਯ,0.3423113343339803,ਕ,0.33478478849551985,ਅ,0.3336010578789803,ਧ,0.3327434058278461,ੲ,0.3230226766309692,ੴ,0.31881359629534356,ਦ,0.31325841410738275,ਖ,0.31165214100512406,ਏ,0.30993604029448174,ਰ,0.2956523575842819,ꁑ,0.29394608588055293,ਲ਼,0.2917957800896086,ੳ,0.2857360662596474,ਨ,0.2760225196736006,ਤ,0.25907553773674363,ਮ,0.2524740390484682,ਪ,0.24839247696129674,ਹ,0.22802751133069887,ਣ,0.22310526690147703,੍,0.22209021154498532,ਉ,0.21856800625211004,ਐ,0.19735885940761944,ਊ,0.18399672149581725,ਆ,0.12129307250563492,ਃ,0.0496332237244137,ਈ,0.04025922079892852,ਟ,0.03228567523216519,ਔ,0.0
4,ੱ,0.9289401250999256,ਛ,0.8504771141589063,ਜ਼,0.792866162807897,ਜ,0.7623372246597411,ਙ,0.7566111173629849,ਫ,0.7469293262487435,ਸ,0.7462903731912468,ਐ,0.7385417903593787,ਮ,0.7344089370580567,ਘ,0.7329437933086349,ਔ,0.7227072657016325,ਠ,0.7199858145884692,ਹ,0.7184463628056552,ਚ,0.7183352719987923,ਡ,0.6999570626079784,ਫ਼,0.6862565048973494,ਪ,0.6796228992672058,ੳ,0.6775487414448171,ਸ਼,0.6693558609022019,ਭ,0.6618200593513617,ਗ,0.6517269994516006,ਖ਼,0.6473030995640856,ਏ,0.6429110281930479,ਖ,0.642718293679265,ਕ,0.6385196997922193,ਅ,0.6376753145014418,ਗ਼,0.63466030884398,ਯ,0.6287837692153015,ਓ,0.6250705802229661,ਵ,0.6184638196601547,ਈ,0.6122909521347746,ੜ,0.6105553830736203,ਦ,0.596727278277507,ਉ,0.5925049805351592,ੴ,0.5915247111393045,ਧ,0.5753371869326156,ਤ,0.5667711286809016,ꁑ,0.5619046460513524,ਃ,0.5609164112035806,ਲ,0.5456478280916828,ਰ,0.5429976895021527,ਊ,0.5405429851651926,ਬ,0.5286964144142191,ਨ,0.5226579757857788,ਇ,0.5127110834873637,ੲ,0.49939908184716286,ਢ,0.49313841349205334,ਣ,0.4825423613145726,ਞ,0.48080727120460476,ਥ,0.4527768615507799,ਝ,0.4473370819867696,ਲ਼,0.44608831290662865,ਟ,0.41420011844711413,ਆ,0.39494045821285284,ਂ,0.35190127661285364,ੰ,0.0762161647170001,੍,0.0
5,ੱ,0.8748783373673035,ਛ,0.781195860519464,ਙ,0.6945161542046262,ਜ਼,0.6873858627035883,ਫ,0.6612670983154396,ਸ,0.658523287486392,ਜ,0.6401616496202056,ਚ,0.6312510634928901,ਘ,0.6288203435141305,ਡ,0.61797322322107,ਫ਼,0.60696613377139,ਠ,0.6048425179176198,ਸ਼,0.6043898998169289,ਮ,0.594063047722474,ਐ,0.5891630047312948,ਹ,0.5786922834382907,ਗ,0.5678727061623349,ਂ,0.5678201341018068,ਭ,0.5635609174235114,ਗ਼,0.5550212737212117,ੳ,0.5462861915623382,ਔ,0.5453832029389698,ਪ,0.5448927123149369,ਖ਼,0.5442997903033135,ਕ,0.5390238909705667,ਖ,0.5324917356035648,ੜ,0.5228711479085032,ਅ,0.5221572024065344,ਯ,0.5216430642812795,ਏ,0.5209587270165053,ਵ,0.5175803870118727,ਓ,0.5131168098739928,ੴ,0.4851168386631224,ਧ,0.48129051938911804,ਦ,0.48066161619144465,ਲ,0.47317334748545437,ਬ,0.46204893529118174,ਉ,0.45527487149992596,ꁑ,0.4502572948995086,ਤ,0.4482054855717852,ਈ,0.44501116493876025,ਰ,0.43935195054539633,ਢ,0.43316083201394584,ਇ,0.4304866128973628,ਨ,0.4063520342672027,ਞ,0.40434324902316887,ਊ,0.4032955688130464,ੲ,0.4028398282361738,ਥ,0.4014552025990059,ਃ,0.3984721929113404,ਝ,0.39068201653418755,ਣ,0.3675949133841675,ਲ਼,0.34611233155059784,ਟ,0.2673160246161276,ਆ,0.26342581192643155,ੰ,0.12044967137334839,੍,0.0
6,ਛ,0.47361469997878813,ਸ਼,0.4726019234609742,ਏ,0.46261192174309285,ਫ਼,0.44853346896983703,ੱ,0.44071653124810206,ਸ,0.43489969164128517,ਓ,0.4237422105994738,ਫ,0.4171016155100177,ਙ,0.4165648905106747,ਇ,0.4046238194403631,ਖ਼,0.38880046213074093,ੜ,0.38401041336784314,ਜ,0.38362077672225825,ਵ,0.3778077670966292,ੲ,0.3756401476635819,ਜ਼,0.37179486307569887,ੴ,0.3689006431297911,ਡ,0.3683540046966689,ਦ,0.36829890812588606,ੳ,0.3657963514784386,ਞ,0.3625715370830067,ਚ,0.35758277368024616,ਉ,0.3549800191958796,ਠ,0.3544031922278461,ਘ,0.35185584302032114,ਲ,0.3488480745872925,ਅ,0.34391107812401156,ਭ,0.3367846976661506,ਯ,0.3351117967163437,ਲ਼,0.33325072630349817,ਨ,0.3327015504071289,ਮ,0.33247361544800413,ਝ,0.33116925933090635,ਊ,0.3292886339685037,ਐ,0.326483714188063,ਰ,0.3215082207335165,ਬ,0.31573839468780585,ਪ,0.30820393880273367,ਣ,0.30303956618844974,ੰ,0.30100984617766624,ਃ,0.3002778791613395,ਹ,0.29522765477837265,ꁑ,0.29326432370189626,ਤ,0.28885252667739625,ਖ,0.2879550953968676,ਕ,0.28568888523732605,ਗ਼,0.28415889798390204,ਢ,0.2824315975189866,ਧ,0.27990269375128973,ਗ,0.2740135081293712,ਂ,0.2560034030906063,ਥ,0.25266967037492694,ਈ,0.24370485341444892,ਟ,0.23691737030540527,ਆ,0.20558783271621728,ਔ,0.20356653909393052,੍,0.0
7,ੱ,0.9304797787889928,ਛ,0.8540438379408911,ਜ਼,0.7936349132886578,ਜ,0.7641272038613969,ਙ,0.7585042819393344,ਫ,0.7498670429959753,ਸ,0.7497898416383029,ਐ,0.7378167354026555,ਮ,0.734656383598915,ਘ,0.7337454630122967,ਠ,0.7215938912033706,ਚ,0.7199149163209339,ਔ,0.7188860529685688,ਹ,0.7182471160819797,ਡ,0.70232658760499,ਫ਼,0.6913575036234751,ਪ,0.6794033021997054,ੳ,0.6793937262427342,ਸ਼,0.6751253178261367,ਭ,0.663357461852107,ਗ,0.6520867738628882,ਖ਼,0.6504207107717986,ਏ,0.6480411094145717,ਖ,0.642632435159245,ਅ,0.6399004484588464,ਕ,0.6389516476337306,ਗ਼,0.6358074416724696,ਯ,0.6310478301858604,ਓ,0.6292997930731876,ਵ,0.6223749954793293,ੜ,0.6145264231441043,ਈ,0.6130143002560255,ਦ,0.6009378149683358,ੴ,0.5961398161140377,ਉ,0.5948247977105481,ਧ,0.576062946244204,ਤ,0.5685916976608046,ꁑ,0.5637269943934787,ਃ,0.5603717288801795,ਲ,0.5499682999117013,ਰ,0.54624365660244,ਊ,0.5425658153283296,ਬ,0.5316593084199739,ਨ,0.5265129287313779,ਇ,0.5178685578171549,ੲ,0.5058401193120254,ਢ,0.495602282327929,ਣ,0.48726097013080105,ਞ,0.48632704480946776,ਥ,0.45469506488940636,ਝ,0.4518660252399064,ਲ਼,0.45122239719229473,ਟ,0.4180623356279437,ਆ,0.3982519459103051,ਂ,0.35634273635333047,ੰ,0.08622116203558394,੍,0.0
8,ੱ,0.8964810176607918,ਛ,0.7187507874064123,ਙ,0.7097032388343195,ਜ਼,0.6933980629675353,ਐ,0.6875509366559203,ਘ,0.6783206783588506,ਔ,0.6721737704272499,ਜ,0.6569551545108834,ਮ,0.6530429770172096,ਪ,0.6444033950766598,ਸ,0.6398839082094707,ਫ,0.6278196048616558,ਚ,0.624809346389469,ਠ,0.6234316677297478,ਹ,0.6192290002428018,ੳ,0.5921448014303287,ਖ,0.5898765622388578,ਡ,0.5885189782820146,ਅ,0.5666974979630687,ਖ਼,0.5648078985843757,ਭ,0.5624808034737098,ਕ,0.5598108261771694,ਗ,0.5527400049302663,ਫ਼,0.5523868168666621,ਸ਼,0.5492973224359039,ਓ,0.5459478752040173,ਯ,0.5362590894724248,ਏ,0.5351538877700168,ਗ਼,0.5267260942183671,ਧ,0.5201464143599412,ਃ,0.5177364402932938,ਵ,0.5068600547306079,ਉ,0.5049299653694387,ੜ,0.5042642087087794,ਇ,0.49986208052076175,ꁑ,0.49469859642374925,ਦ,0.47975109515753533,ਤ,0.473515439407288,ਈ,0.4681481765032225,ਊ,0.4587547851650331,ੴ,0.44397645805868313,ਲ,0.44373589779119016,ਬ,0.43741736433922584,ਢ,0.4357359759753815,ਨ,0.4314498009280884,ਰ,0.4250533070562398,ਥ,0.39271871905074307,ਝ,0.3736047315003693,ਞ,0.37310161676579745,ੲ,0.3551629145901246,ਲ਼,0.34698077933795934,ਣ,0.33510938794247924,ਂ,0.3324398854148005,ਆ,0.28389670949080914,ਟ,0.25173557008868763,੍,0.18047624228166514,ੰ,0.0
9,ਛ,0.47361469997878813,ਸ਼,0.4726019234609742,ਏ,0.46261192174309285,ਫ਼,0.44853346896983703,ੱ,0.44071653124810206,ਸ,0.43489969164128517,ਓ,0.4237422105994738,ਫ,0.4171016155100177,ਙ,0.4165648905106747,ਇ,0.4046238194403631,ਖ਼,0.38880046213074093,ੜ,0.38401041336784314,ਜ,0.38362077672225825,ਵ,0.3778077670966292,ੲ,0.3756401476635819,ਜ਼,0.37179486307569887,ੴ,0.3689006431297911,ਡ,0.3683540046966689,ਦ,0.36829890812588606,ੳ,0.3657963514784386,ਞ,0.3625715370830067,ਚ,0.35758277368024616,ਉ,0.3549800191958796,ਠ,0.3544031922278461,ਘ,0.35185584302032114,ਲ,0.3488480745872925,ਅ,0.34391107812401156,ਭ,0.3367846976661506,ਯ,0.3351117967163437,ਲ਼,0.33325072630349817,ਨ,0.3327015504071289,ਮ,0.33247361544800413,ਝ,0.33116925933090635,ਊ,0.3292886339685037,ਐ,0.326483714188063,ਰ,0.3215082207335165,ਬ,0.31573839468780585,ਪ,0.30820393880273367,ਣ,0.30303956618844974,ੰ,0.30100984617766624,ਃ,0.3002778791613395,ਹ,0.29522765477837265,ꁑ,0.29326432370189626,ਤ,0.28885252667739625,ਖ,0.2879550953968676,ਕ,0.28568888523732605,ਗ਼,0.28415889798390204,ਢ,0.2824315975189866,ਧ,0.27990269375128973,ਗ,0.2740135081293712,ਂ,0.2560034030906063,ਥ,0.25266967037492694,ਈ,0.24370485341444892,ਟ,0.23691737030540527,ਆ,0.20558783271621728,ਔ,0.20356653909393052,੍,0.0
